"","codigo_emenda","numero_emenda","data_apresentacao","colegiado_apresentacao","descricao_turno","descricao_tipo_emenda","codigo_parlamentar","nome_parlamentar.x","nome_completo_parlamentar","sexo_parlamentar","forma_tratamento","url_foto_parlamentar","url_pagina_parlamentar","email_parlamentar","sigla_partido_parlamentar.x","uf_parlamentar","nome_parlamentar.y","sigla_partido_parlamentar.y","sigla_partido_parlamentar"
"13","7990880","00013","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5411","Weverton","Weverton Rocha Marques de Sousa","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411","sen.wevertonrocha@senado.leg.br","PDT","MA","Weverton","PDT","PDT"
"14","7990883","00014","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5411","Weverton","Weverton Rocha Marques de Sousa","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411","sen.wevertonrocha@senado.leg.br","PDT","MA","Weverton","PDT","PDT"
"15","7990886","00015","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5411","Weverton","Weverton Rocha Marques de Sousa","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411","sen.wevertonrocha@senado.leg.br","PDT","MA","Weverton","PDT","PDT"
"16","7990889","00016","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5411","Weverton","Weverton Rocha Marques de Sousa","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411","sen.wevertonrocha@senado.leg.br","PDT","MA","Weverton","PDT","PDT"
"17","7990892","00017","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","5411","Weverton","Weverton Rocha Marques de Sousa","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411","sen.wevertonrocha@senado.leg.br","PDT","MA","Weverton","PDT","PDT"
"18","7990901","00018","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","6005","Siqueira Campos","Jose Wilson Siqueira Campos","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6005.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/6005",NA,"DEM",NA,NA,NA,"DEM"
"19","7990904","00019","2019-08-14","CCJ","NORMAL","EMENDA_PARCIAL","6005","Siqueira Campos","Jose Wilson Siqueira Campos","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6005.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/6005",NA,"DEM",NA,NA,NA,"DEM"
"20","7991035","00020","2019-08-15","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"21","7991038","00021","2019-08-15","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"22","7991041","00022","2019-08-15","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"23","7991044","00023","2019-08-15","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"24","7991048","00024","2019-08-15","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"25","7991069","00025","2019-08-15","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"26","7991085","00026","2019-08-15","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"27","7991093","00027","2019-08-15","CCJ","NORMAL","EMENDA_PARCIAL","6005","Siqueira Campos","Jose Wilson Siqueira Campos","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6005.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/6005",NA,"DEM",NA,NA,NA,"DEM"
"28","7991363","00028","2019-08-15","CCJ","NORMAL","EMENDA_PARCIAL","5008","Humberto Costa","Humberto Sérgio Costa Lima","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008","sen.humbertocosta@senado.leg.br","PT","PE","Humberto Costa","PT","PT"
"29","7991366","00029","2019-08-15","CCJ","NORMAL","EMENDA_PARCIAL","5008","Humberto Costa","Humberto Sérgio Costa Lima","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008","sen.humbertocosta@senado.leg.br","PT","PE","Humberto Costa","PT","PT"
"30","7991375","00030","2019-08-15","CCJ","NORMAL","EMENDA_PARCIAL","4981","Acir Gurgacz","Acir Marcos Gurgacz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981","sen.acirgurgacz@senado.leg.br","PDT","RO","Acir Gurgacz","PDT","PDT"
"31","7992157","00031","2019-08-16","CCJ","NORMAL","EMENDA_PARCIAL","5008","Humberto Costa","Humberto Sérgio Costa Lima","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008","sen.humbertocosta@senado.leg.br","PT","PE","Humberto Costa","PT","PT"
"32","7992160","00032","2019-08-16","CCJ","NORMAL","EMENDA_PARCIAL","5008","Humberto Costa","Humberto Sérgio Costa Lima","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008","sen.humbertocosta@senado.leg.br","PT","PE","Humberto Costa","PT","PT"
"33","7992466","00033","2019-08-19","CCJ","NORMAL","EMENDA_PARCIAL","6027","Mecias de Jesus","Antônio Mecias Pereira de Jesus","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/6027","sen.meciasdejesus@senado.leg.br","REPUBLICANOS","RR","Mecias de Jesus","REPUBLICANOS","REPUBLICANOS"
"34","7992904","00034","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"35","7992907","00035","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"36","7992910","00036","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"37","7992913","00037","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"38","7992916","00038","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"39","7992919","00039","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"40","7992922","00040","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"41","7992934","00041","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"42","7992937","00042","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"43","7992940","00043","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"44","7992943","00044","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"45","7992946","00045","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"46","7992951","00046","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"47","7992964","00047","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5502","Plínio Valério","Francisco Plínio Valério Tomaz","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502","sen.pliniovalerio@senado.leg.br","PSDB","AM","Plínio Valério","PSDB","PSDB"
"48","7993135","00048","2019-08-20","CCJ","PRIMEIRO","EMENDA_PARCIAL","5533","Lasier Martins","Lasier Costa Martins","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5533.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5533","sen.lasiermartins@senado.leg.br","PODEMOS","RS","Lasier Martins","PODEMOS","PODEMOS"
"49","7993162","00049","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5990","Carlos Viana","Carlos Alberto Dias Viana","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990","sen.carlosviana@senado.leg.br","PSD","MG","Carlos Viana","PSD","PSD"
"50","7993165","00050","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5990","Carlos Viana","Carlos Alberto Dias Viana","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990","sen.carlosviana@senado.leg.br","PSD","MG","Carlos Viana","PSD","PSD"
"51","7993174","00051","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5718","Eliziane Gama","Eliziane Pereira Gama Melo","Feminino","Senadora","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718","sen.elizianegama@senado.leg.br","CIDADANIA","MA","Eliziane Gama","CIDADANIA","CIDADANIA"
"52","7993177","00052","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5718","Eliziane Gama","Eliziane Pereira Gama Melo","Feminino","Senadora","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718","sen.elizianegama@senado.leg.br","CIDADANIA","MA","Eliziane Gama","CIDADANIA","CIDADANIA"
"53","7993180","00053","2019-08-20","CCJ","NORMAL","EMENDA_PARCIAL","5718","Eliziane Gama","Eliziane Pereira Gama Melo","Feminino","Senadora","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718","sen.elizianegama@senado.leg.br","CIDADANIA","MA","Eliziane Gama","CIDADANIA","CIDADANIA"
"54","7993943","00054","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5008","Humberto Costa","Humberto Sérgio Costa Lima","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008","sen.humbertocosta@senado.leg.br","PT","PE","Humberto Costa","PT","PT"
"55","7993948","00055","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5008","Humberto Costa","Humberto Sérgio Costa Lima","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008","sen.humbertocosta@senado.leg.br","PT","PE","Humberto Costa","PT","PT"
"56","7993951","00056","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5008","Humberto Costa","Humberto Sérgio Costa Lima","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008","sen.humbertocosta@senado.leg.br","PT","PE","Humberto Costa","PT","PT"
"57","7993954","00057","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5008","Humberto Costa","Humberto Sérgio Costa Lima","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008","sen.humbertocosta@senado.leg.br","PT","PE","Humberto Costa","PT","PT"
"58","7993958","00058","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5008","Humberto Costa","Humberto Sérgio Costa Lima","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008","sen.humbertocosta@senado.leg.br","PT","PE","Humberto Costa","PT","PT"
"59","7994261","00059","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5979","Leila Barros","Leila Gomes de Barros Rêgo","Feminino","Senadora","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979","sen.leilabarros@senado.leg.br","PSB","DF","Leila Barros","PSB","PSB"
"60","7994268","00060","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5979","Leila Barros","Leila Gomes de Barros Rêgo","Feminino","Senadora","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979","sen.leilabarros@senado.leg.br","PSB","DF","Leila Barros","PSB","PSB"
"61","7994274","00061","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5979","Leila Barros","Leila Gomes de Barros Rêgo","Feminino","Senadora","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979","sen.leilabarros@senado.leg.br","PSB","DF","Leila Barros","PSB","PSB"
"62","7994290","00062","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5979","Leila Barros","Leila Gomes de Barros Rêgo","Feminino","Senadora","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979","sen.leilabarros@senado.leg.br","PSB","DF","Leila Barros","PSB","PSB"
"63","7994354","00063","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5979","Leila Barros","Leila Gomes de Barros Rêgo","Feminino","Senadora","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979","sen.leilabarros@senado.leg.br","PSB","DF","Leila Barros","PSB","PSB"
"64","7994537","00064","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","581","Jaques Wagner","Jaques Wagner","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/581","sen.jaqueswagner@senado.leg.br","PT","BA","Jaques Wagner","PT","PT"
"65","7994647","00065","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5967","Angelo Coronel","Angelo Mario Coronel de Azevedo Martins","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967","sen.angelocoronel@senado.leg.br","PSD","BA","Angelo Coronel","PSD","PSD"
"66","7994650","00066","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5967","Angelo Coronel","Angelo Mario Coronel de Azevedo Martins","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967","sen.angelocoronel@senado.leg.br","PSD","BA","Angelo Coronel","PSD","PSD"
"67","7994653","00067","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5967","Angelo Coronel","Angelo Mario Coronel de Azevedo Martins","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967","sen.angelocoronel@senado.leg.br","PSD","BA","Angelo Coronel","PSD","PSD"
"68","7994659","00068","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5012","Randolfe Rodrigues","Randolph Frederich Rodrigues Alves","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012","sen.randolferodrigues@senado.leg.br","REDE","AP","Randolfe Rodrigues","REDE","REDE"
"69","7994662","00069","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5012","Randolfe Rodrigues","Randolph Frederich Rodrigues Alves","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012","sen.randolferodrigues@senado.leg.br","REDE","AP","Randolfe Rodrigues","REDE","REDE"
"70","7994665","00070","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5012","Randolfe Rodrigues","Randolph Frederich Rodrigues Alves","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012","sen.randolferodrigues@senado.leg.br","REDE","AP","Randolfe Rodrigues","REDE","REDE"
"71","7994668","00071","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5012","Randolfe Rodrigues","Randolph Frederich Rodrigues Alves","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012","sen.randolferodrigues@senado.leg.br","REDE","AP","Randolfe Rodrigues","REDE","REDE"
"72","7994671","00072","2019-08-21","CCJ","NORMAL","EMENDA_PARCIAL","5012","Randolfe Rodrigues","Randolph Frederich Rodrigues Alves","Masculino","Senador","http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg","http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012","sen.randolferodrigues@senado.leg.br","REDE","AP","Randolfe Rodrigues","REDE","REDE"
